"Type specimens at Botanical Survey of India, Central Regional Centre, Allahabad (BSA)",,,,,,,,,
Name of the Taxon,Family,Place of collection,"Date of 
Collection","Name of the
collector","F.No. / 
Coll. No.",Type Details,"Herbarium
Acronym",,
Mangifera nicobarica Kosterm.,Anacardiaceae,"Great Nicobar,
near Galathea
Bridge",6.12.1978,N.G. Nair,7184,Isotype,PBL,,
"Semecarpus kurzii Engl. var.
elongata",Anacardiaceae,"Car Nicobar, Malacca",11.6.1973,N.P. Balakrishnan,438,Syntype,PBL,,
"Semecarpus kurzii Engl. var.
elongata Chandra",Anacardiaceae,"Car Nicobar, Passa",2.3.1974,N.G. Nair,943,Syntype,PBL,,
Connarus paniculatus Roxb.,Connaraceae,"Great Nicobar, Koshin
Don",5.2.1980,,7822 B & C,Isotype,PBL,,
"Tadehagi triquetrum (L.) H.
Ohashi subsp. andamanicum
N.P. Balakr. & N.G. Nair","North Andaman, Saddle
Peak",2.12.1976,"N.P. Balakrishnan
&
N.G. Nair","4798
B,C,D,E",Isotype,PBL,,,
Crudia balachandrae Sanjappa,"Great Nicobar, Sour Bay",2.08.1984,M. Sanjappa,18137,Isotype,PBL,,,
"Phanera nicobarica N.P. Balakr.
& Thoth.","Great Nicobar, 15 km on
East - West Road",23.8.1975,N.P. Balakrishnan,"3043
D,E,F,G,H",Isotype,PBL,,,
"Phanera nicobarica N.P. Balakr.
& Thoth.","Great Nicobar, 19 km on
road to Pygmalion
Point",17.6.1976,N.P. Balakrishnan,"3824 C,D,E,F",Paratype,PBL,,,
"Terminalia vermae M. Gangop. &
Chakrab.","South Andaman,
Baratang
Island","30.10.197
6",P. Basu,7613,Isotype,PBL,,,
"Terminalia vermae M. Gangop.
& Chakrab.","South Andaman, Mount
Harriet",16.1.1974,N.G. Nair,801,Isotype,PBL,,,
"Memecylon balakrishnanii
Lakshmin. & S.P. Mathew","North Andaman, Saddle
Peak",1.12.1976,"N.P. Balakrishnan
&
N.G. Nair",4764,Isotype,PBL,,,
"Rotala andamanensis S.P.
Mathew & Lakshmin.","South Andaman, Wright
Myo",9.1.1974,N.P. Balakrishnan,"761 B,C,D,E",Isotype,PBL,,,
"Schefflera pushpangadanii
Chakrab.","Great Nicobar, Laful",12.5.1980,D.K. Hore,7566,Isotype,PBL,,,
"Schefflera pushpangadanii
Chakrab.","Great Nicobar, 38 km
on
East-West Road",13.5.1980,R.P. Diwivedi,7886,Isotype,PBL,,,
