"Type specimens at Botanical Survey of India, Central Regional Centre, Allahabad (BSA)",,,,,,,,,
Name of the Taxon,Family,Place of collection,"Date of 
Collection","Name of the
collector","F.No. / 
Coll. No.",Type Details,"Herbarium
Acronym",,
"Sorghum durra 
(Forssk.) Batt. &
Trab. var. mediocre
(Burkill
ex Benson &
Subba Rao)
Snowden",Poaceae,"Kistna, Madras",Sine die,–,s.n.,Syntype,BSIS,,
"Sorghum durra 
(Forssk.) Batt. &
Trab. var. mediocre
(Burkill
ex Benson &
Subba Rao)
Snowden",Poaceae,"Kistna, Madras",Sine die,–,s.n.,Syntype,BSIS,,
"Sorghum dochna
(Forssk.) Snowden var.
pulchrum (Burkill ex
Benson & Subba Rao)
Snowden",Poaceae,"Sagaing, Burma",Sine die,–,s.n.,Holotype,BSIS,,
"Sorghum
subglabrescent
(Steud.) Schweinf
& Aschers var.
irungiforme (Burkill 
ex
Benson & Subba Rao)
Snowden",Poaceae,"Trichinipoly,
Madras",Sine die,–,s.n.,Holotype,BSIS,,
"Coelogyne schultesii
Jain et Das",Orchidaceae,"Kawkareik
to
Thingan-
Nyinawng,
Amherst
Dist.,
Burma","March, 1904",I.H. Burkill,24351,Paratype,BSIS,,
"Dioscorea bulbifera L.
var. birmanica Prain
& Burkill",Dioscoreaceae,"Pwe-Lone,
Kyaukse
dist., lower
Burma","23 December
1903",-,22297,"Authenti
c sheet",BSIS,,
"Dioscorea bulbifera L.
var. birmanica Prain
& Burkill",Dioscoreaceae,"Pwe-Lone,
Kyaukse
dist., lower
Burma",8-Oct-04,Burkill & Prain,22297,"Authenti
c sheet",BSIS,,
"Dioscorea bulbifera L.
var. birmanica Prain
& Burkill",Dioscoreaceae,"Pakokku, Burma",9-Oct-04,Burkill & Prain,20644,"Authenti
c sheet",BSIS,,
"Dioscorea scortechinii
Prain & Burkill",Dioscoreaceae,-,May 1884,"Revd.
Father 
Scortechin
ii",s.n.,Syntype,BSIS,,
"Dioscorea scortechinii
Prain & Burkill",Dioscoreaceae,-,May 1885,"Revd.
Father 
Scortechin
ii",s.n.,Syntype,BSIS,,
"Dioscorea scortechinii
Prain & Burkill",Dioscoreaceae,-,May 1886,"Revd.
Father 
Scortechin
ii",s.n.,Syntype,BSIS,,
"Dioscorea
yunnanensis Prain &
Burkill",Dioscoreaceae,Yunnan,Sine die,-,9288 A,Syntype,BSIS,,
"Dioscorea
yunnanensis Prain &
Burkill",Dioscoreaceae,Yunnan,Sine die,-,9288 A,Syntype,BSIS,,
"Dioscorea bulbifera
L. var. sativa Prain 
& Burkill",Dioscoreaceae,Madras,Sine die,C.A. Barber,2404,"Authenti
c sheet",BSIS,,
"Dioscorea bulbifera
L. var. simbha 
Prain & Burkill",Dioscoreaceae,"Dentam, Sikkim,
alt. 4,000 ft.",23-May-09,I.H. Burkill,32105,"Authenti
c sheet",BSIS,,
"Dioscorea bulbifera
L. var. simbha 
Prain & Burkill",Dioscoreaceae,Labdah,5-Jun-03,"Dr. Prain's
collector",s.n.,"Authenti
c sheet",BSIS,,
"Dioscorea bulbifera
L. var. simbha 
Prain & Burkill",Dioscoreaceae,Mungpoo,"10 September
1911",Ribu,3,"Authenti
c sheet",BSIS,,
"Dioscorea bulbifera
L. var. simbha 
Prain & Burkill",Dioscoreaceae,Pachok,Oct-03,J.L. Lister,s.n.,"Authenti
c sheet",BSIS,,
"Dioscorea bulbifera
L. var. simbha 
Prain & Burkill",Dioscoreaceae,Mungpoo,"10 September
1911",Ribu,3,"Authenti
c sheet",BSIS,,
"Dioscorea bulbifera
L. var. simbha 
Prain & Burkill",Dioscoreaceae,Mungpoo,"19 September
1911",Ribu,8,"Authenti
c sheet",BSIS,,
"Dioscorea bulbifera
L. var. suavior 
Prain & Burkill",Dioscoreaceae,-,Sine die,-,21051,"Authenti
c sheet",BSIS,,
"Dioscorea bulbifera
L. var. suavior 
Prain & Burkill",Dioscoreaceae,"Nasirgarh,
Bhopal",17-Jul-03,Kalka Prashad,20095,"Authenti
c sheet",BSIS,,
"Dioscorea bulbifera
L. var. suavior 
Prain & Burkill",Dioscoreaceae,"Kalyan, Thana","22 September
1910",D. Hooper,34639,"Authenti
c sheet",BSIS,,
"Dioscorea bulbifera
L. var. suavior 
Prain & Burkill",Dioscoreaceae,"Kalyan, Thana","17 September
1910",D. Hooper,34470,"Authenti
c sheet",BSIS,,
"Dioscorea bulbifera
L. var. suavior 
Prain & Burkill",Dioscoreaceae,"Kalyan, Thana","22 September
1910",D. Hooper,34638,"Authenti
c sheet",BSIS,,
"Dioscorea bulbifera
L. var. suavior 
Prain & Burkill",Dioscoreaceae,"Nasirgarh,
Bhopal",17-Jul-03,Kalka Prashad,20095,"Authenti
c sheet",BSIS,,
"Dioscorea bulbifera
L. var. suavior 
Prain & Burkill",Dioscoreaceae,"Oung-Ya
village,
Pechaung,
Akyab dist.",7-Jan-07,I.H. Burkill,27985,"Authenti
c sheet",BSIS,,
"Dioscorea bulbifera
L. var. suavior 
Prain & Burkill",Dioscoreaceae,"Nebada, Arrah",2-Nov-10,Kalka Prashad,34831,"Authenti
c sheet",BSIS,,
"Dioscorea bulbifera
L. var. suavior 
Prain & Burkill",Dioscoreaceae,"Nebada, Arrah",2-Nov-10,Kalka Prashad,34831,"Authenti
c sheet",BSIS,,
"Note: Most of the Dioscorea sheets are mentioned as authentic sheets, the names have been written by the author and the sheets marked as type.",,,,,,,,,
"Diclptera nasikensis Lakshmin.
& B.D. Sharma",Acanthaceae,"Dang-Saundana, Satana
range,
Nasik","20.05.198
3",P.L. Narasimhan,163977 B-E,Isotype,BSI,,
"Dicliptera nasikensis
Lakshmin. & B.D. Sharma",Acanthaceae,"Dang-Saundana, Satana
range,
Nasik","17.05.198
5",P.L. Narasimhan,167696 A-F,Paratype,BSI,,
"Rungia linifolia Nees
var.saldanhae Mascar. et
Janarth.",Acanthaceae,"Btw. Kottigehera &
Jennuhallu, Chikmagalur","21.02.200
6",Mascar. et Janarth.,205,Type,BSI,,
"Strobilanthes membranaceus
Talbot",Acanthaceae,"Anmond ghat, N. Kannara","25.02.188
8",W.A.Talbot,1616,Type,BSI,,
"Strobilanthes membranaceus
Talbot",Acanthaceae,"Anmond ghat, N. Kannara","15.09.189
1",W.A. Talbot,1616,Type,BSI,,
Strobilanthes minor Talbot,Acanthaceae,"Kala nadi, Suppa, N. Kannara","10.09.188
5",W.A. Talbot,1338,Holotype,BSI,,
Strobilanthes minor Talbot,Acanthaceae,"Kala nadi, Suppa, N. Kannara","10.10.188
5",W.A. Talbot,1338,Isotype,BSI,,
"Chlorophytum bharuchae
Ansari, Sundararagh. &
Hemadri",Antheriaceae,"Shivaneri fort, Junnar, Pune","25.07.196
3",M.Y. Ansari,88712 B-F,Isotype,BSI,,
"Chlorophytum bharuchae
Ansari, Sundararagh. & 
Hemadri",Antheriaceae,"Shivaneri fort, Junnar, Pune","25.06.196
5",K. Hemadri,107097,Paratype,BSI,,
"Chlorophytum gothanense
Malpure & S.R.Yadav",Antheriaceae,"Gothane, Ratngiri","23.07.200
5",N.V. Malpure,2,Isotype,BSI,,
"Dipcadi goaense A.
Prabhugaokar, U. Yadav &
Janarth.",Antheriaceae,"Kevanravana, Goa","11.08.190
7","Prabhu, U. Yadav &
Janarth.",A 40,Isotype,BSI,,
"Heracleum dalgadianum M.R.
Almeida",Apiaceae,"Amboli, Sindhudurg","02.10.198
1",M.R. Almeida,1627 C,Paratype,BSI,,
"Pimpinella katrajensis R.S.
Rao & Hemadri",Apiaceae,"BSI Garden, Pune","20.09.197
1",K. Hemadri,108794 B-O,Isotype,BSI,,
"Pimpinella katrajensis R.S.
Rao & Hemadri",Apiaceae,"Katraj Ghat, Pune","17.12.196
9",K. Hemadri,81996 A-B,Paratype,BSI,,
"Pimpinella katrajensis R.S.
Rao & Hemadri *",Apiaceae,"BSI Garden, Pune","20.09.197
1",K. Hemadri,108794 A,Holotype,BSI,,
Pimpinella rollae Billore &,Apiaceae,"BSI Garden, Pune","15.07.196
9",K.V. Billore,115986 A,Holotype,BSI,,
Hemadri,,,,,,,,,
"Aponogeton bruggenii
S.R.Yadav & Govekar",Aponogetonaceae,"Nerurpur, Sindhudurg","10.09.199
4",S.R. Yadav,1,Isotype,BSI,,
"Amorphophallus bhandarensis
S.R.Yadav, Kahalkar
& Bhuskute",Araceae,"Tumsar, Bhandara","02.07.200
8",V.I. Kahalkar,5372,Isotype,BSI,,
"Arisaema murrayi (J.
Graham) Hook. var.
sonubeniae Tetali, Punekar &
Lakshmin.",Araceae,"Ganeshkhind, Junnar-Maishej
ghat rd, Junnar, Pune","25.06.200
2",P. Tetali & Punekar,186490,Isotype,BSI,,
"Arisaema sivadasanii
S.R.Yadav, K.S. Patil
& Janarth.",Araceae,"Amboli, Sindhudurg","22.10.199
5",S.R. Yadav,4695 B,Isotype,BSI,,
"Brachystelma ciliatum Arekal
& T.M. Ramakrishna",Asclepiadaceae,"Kolar, Mysore",27.061979,T.M. Ramakrishna,1311,Isotype,BSI,,
"Brachystelma ciliatum Arekal
& T.M. Ramakrishna",Asclepiadaceae,"Kolar, Mysore","24.08.197
9",T.M. Ramakrishna,1340,Paratype,BSI,,
"Ceropegia anantii S.R.
Yadav, Sardesai &
S.P. Gaikwad",Asclepiadaceae,"Salva Hill, Sindhudurg","15.09.199
8",S.R. Yadav,495,Isotype,BSI,,
"Ceropegia attenuata
Hook. var. mookambikae
Diwakar
& Singh",Asclepiadaceae,"Manmanhara plateau,
Mookambika WLS","26.08.200
7","Diwakar &
R.K. Singh",191852 B-E,Isotype,BSI,,
"Ceropegia attenuata
Hook. var. mookambikae
Diwakar
& Singh",Asclepiadaceae,"Manmanhara plateau,
Mookambika WLS","14.09.200
8","Diwakar &
R.K. Singh",184488 A-B,Paratype,BSI,,
"Ceropegia bhattii S.R. Yadav
& S.M. Shendge",Asclepiadaceae,"Malebanur ghat, Davanger
dist.
Karnataka","15.09.200
8",S.M. Shendge,2550,Isotype,BSI,,
Ceropegia huberi Ansari,Asclepiadaceae,"Amba ghat, Ratnagiri","29.08.196
7",M.Y. Ansari,105001-C,Isotype,BSI,,
Ceropegia huberi Ansari,Asclepiadaceae,"Amba ghat, Ratnagiri","29.08.196
7",M.Y. Ansari,105033 A-L,Paratype,BSI,,
"Ceropegia mahabalei
Hemadri & Ansari",Asclepiadaceae,"Ralegaon, Junnar, Pune","25.09.196
8",K. Hemadri,118070 B-E,Isotype,BSI,,
"Ceropegia mahabalei
Hemadri & Ansari",Asclepiadaceae,"Bhivade khurd, Junnar, Pune","21.09.196
8",K. Hemadri,117938 A-D,Paratype,BSI,,
Ceropegia mohanramii S.R.,Asclepiadaceae,"Kochara, Kudal, Sindhudurg","29.07.200
0",M.M. Sardesai,2541,Isotype,BSI,,
"Yadav, Gawade &
Sardesai",,,,,,,,,
Ceropegia rollae Hemadri,Asclepiadaceae,"Dhak Killa, Junnar, Pune",29.09.1965,K. Hemadri,107472 B-L,Isotype,BSI,,
Ceropegia rollae Hemadri,Asclepiadaceae,"Durga killa, Junnar, Pune",01.10.1965,K. Hemadri,107547 A-L,Paratype,BSI,,
"Ceropegia sahyadrica Ansari
& B.G. Kulk.",Asclepiadaceae,"Amboli ghat, Sindhudurg",30.08.1967,K. Hemadri,108643,Isotype,BSI,,
"Ceropegia sahyadrica Ansari
& B.G. Kulk.",Asclepiadaceae,"Danoli, near Sawantwadi,
Sindhudurg",18.09.1964,R.D. Pataskar,102141,Paratype,BSI,,
"Ceropegia sahyadrica Ansari
& B.G. Kulk.",Asclepiadaceae,"Sinhagad, Pune",30.07.1902,L.D. Garade,57 A-C,Paratype,BSI,,
"Ceropegia santapaui
Wadhwa & Ansari",Asclepiadaceae,"Mahabaleshwar-Mahad ghat
Rd.",19.08.1966,B. M. Wadhawa,109640 I-K,Isotype,BSI,,
"Ceropegia santapaui
Wadhwa & Ansari",Asclepiadaceae,"Mahabaleshwar-Mahad ghat
Rd.",13.09.1966,Wadhwa & Ansari,109651 B-N,Paratype,BSI,,
"Marsdenia lanceolata
T.Cooke",Asclepiadaceae,"Lohegaon, Pune",July 1891,Bhiva,--,Syntype,BSI,,
"Seshagiria sahyadrica Ansari
& Hemadri",Asclepiadaceae,"Sinhagad, Pune",28.06.1963,M.Y. Ansari,87750 B-C,Isotype,BSI,,
"Seshagiria sahyadrica Ansari
& Hemadri",Asclepiadaceae,"Gureghar, Mahabaleshwar
rd.,
Satara",20.06.1968,M.Y. Ansari,105077 A-D,Paratype,BSI,,
"Blumea venkataramanii R.S.
Rao & Hemadri",Asteraceae,"Ralegaon, Junnar, Pune",06.02.1969,K. Hemadri,68582,Paratype,BSI,,
"Blumea venkataramanii R.S.
Rao & Hemadri",Asteraceae,"Vadgaon maval, Pune-Mumbai
rd., Pune",05.01.1971,K. Hemadri,108788,Paratype,BSI,,
"Blumea venkataramanii R.S.
Rao & Hemadri",Asteraceae,"Vanwadi, Junnar, Pune",05.02.1969,K. Hemadri,68588,Paratype,BSI,,
Vernonia ornata Talbot,Asteraceae,"Girsappa falls, N. Kannara",29.12.1881,W.A. Talbot,2663,Holotype,BSI,,
Vernonia ornata Talbot,Asteraceae,"Girsappa falls, N. Kannara",02.01.1892,W.A. Talbot,5412,Isotype,BSI,,
Impatiens talbotii Hook.,Balsaminaceae,North Kanara,25.11.1895,W.A. Talbot,3732,Type,BSI,,
"Cassia kolabensis Kothari,
Moorthy & M. P. Nayar",Caesalpiniaceae,"Penn-Khopoli rd., Raigad",27.09.1976,M.J. Kothari,147461 B,Isotype,BSI,,
Arenaria curvifolia Majumdar,"Caryophyllacea
e",--,September,J.F. Duthie,3858 B,Isotype,BSI,,
"Gymnosporia konkanensis
Talbot",Celastraceae,"Manoli forest, Thane",01.07.1907,W.A. Talbot,2889,Holotype,BSI,,
Salacia talbotii Gamble,Celastraceae,"Anshi ghat, N.Kannara",01.06.1885,W.A. Talbot,1217,Syntype,BSI,,
"Garcinia talbotii Rizada ex.
Santapau",Clusiaceae,Thane,7-Sep,W.A. Talbot,5155,Paratype,BSI,,
Camptorrhiza indica S.R.,Colchicaceae,"Bhatia-Tisari, Dharmashala,",20.06.1990,S.R. Yadav,1867 A,Isotype,BSI,,
"Yadav, N.P. Singh & B.
Mathew",,Ratnagiri.,,,,,,,
"Iphigenia magnifica Ansari &
R.S. Rao",Colchicaceae,"Mukti lake, Dhule","05.10.196
9",R.D. Pataskar,"118218 B,
C,
E",Isotype,BSI,,
"Iphigenia magnifica Ansari &
R.S. Rao",Colchicaceae,"Mukti lake, Dhule","08.09.197
0",M.Y. Ansari,104945,Paratype,BSI,,
"Iphigenia magnifica Ansari &
R.S. Rao",Colchicaceae,"Matheran hills, Raigad.","30.07.197
3",M.Y. Ansari,104948,Paratype,BSI,,
"Iphigenia sahyadrica Ansari
& R.S. Rao",Colchicaceae,"Hullical, Shimoga","25.08.196
3",R.S. Raghvan,90209 B-C,Isotype,BSI,,
"Iphigenia sahyadrica Ansari
& R.S. Rao",Colchicaceae,"Hullical, Shimoga","24.08.197
3",M.Y. Ansari,104952 A-B,Paratype,BSI,,
Cyanotis arcotensis R.S. Rao,Commelinaceae,"Tippukadu R.F., N. Arkot,
Madras","10.11.196
3",J. Joseph,89886 B,Isotype,BSI,,
"Cyanotis cerifolia R.S. Rao &
Kammathy",Commelinaceae,"Mundwa expt. Garden, Pune","08.08.196
2",R.V. Kammathy,77785 B,Isotype,BSI,,
"Cyanotis cerifolia R.S. Rao &
Kammathy",Commelinaceae,"Weverly estate, Annamalai,
Madaras","12.09.196
1",R.V. Kammathy,73950 A,Paratype,BSI,,
"Murdannia brownii Nandikar
& Gurav",Commelinaceae,"Morjai plateau,
Gaganbauda,
Kolhapur","21.09.200
9",M.D. Nandikar,62,Holotype,BSI,,
"Neuropeltis malabarica
Ooststr.",Convolvulaceae,"Potolli, N.Kannara","05.02.189
2",W.A. Talbot,2735,Paratype,BSI,,
"Cyperus diwakarii W.Khan &
S.Solanki",Cyperaceae,"Poladpur, Mahabaleshwar,
Satara","01.11.200
2",D.P. Chavan,5032,Isotype,BSI,,
"Cyperus yadavi W. Khan,
Chavan, Solanki",Cyperaceae,"Nilambur forest, Kerla.","17.10.190
4",D.P. Chavan,5511,Isotype,BSI,,
"Eleocharis lankana Koyama
ssp. mohamadii W. Khan",Cyperaceae,"Kagal lake, Kholapur","27.08.199
5",W. Khan,4254,Isotype,BSI,,
"Eleocharis wadoodii S.R.
Yadav, Lekhak, Chandore",Cyperaceae,"Masai plateau, Panhala,
Kolhapur","15.08.200
7",A.N. Chandore,131,Isotype,BSI,,
"Fimbristylis ambavanensis V.P.
Prasad & N.P. Singh",Cyperaceae,"Top of fort, Ambavane,
Mulshi,
Pune","06.09.196
4",B.V. Reddi,99049 A-B,Isotype,BSI,,
"Fimbristylis bhaskarii J.Desai,
L. Joseph & K.Janarth.*",Cyperaceae,"Charmadi ghat, Chikmagalur","15.08.200
5","Desai, Joseph &
Janarth.",62,Isotype,BSI,,
"Fimbristylis dichotoma (L.)
Vahl. var. poladpurensis
D.P.Chavan",Cyperaceae,"Mahabaleswar-Poladpur rd.,
Satara","08.11.200
2",D.P. Chavan,5036,Isotype,BSI,,
Fimbristylis merrillii Kern,Cyperaceae,"Nilambur forest, Kerla.","17.10.190
4",D.P. Chavan,5508,Isotype,BSI,,
"subsp. sofiyae W. Khan &
D.P. Chavan",,,,,,,,,
"Fimbristylis naikii W. Khan &
Lakshmin.",Cyperaceae,"Amboli Road, Kolhapur","18.10.199
5",W. Khan,4341,Isotype,BSI,,
"Fimbristylis ratnagirica V.P.
Prasad & N.P. Singh",Cyperaceae,"Osargaon plateau, Kasal,
Ratnagiri","18.08.197
1",B.G. Kulkurni,131758 A,Isotype,BSI,,
"Fimbristylis sanjappae W.
Khan & S. Solanki",Cyperaceae,"Near Malpe beach, Udupi","14.10.200
4",D.P. Chavan,5419,Isotype,BSI,,
"Fimbristylis simpsonii V.P.
Prasad & N.P. Singh",Cyperaceae,"Kanagalgudda-Tirthahalli,
Mysore","19.08.196
3",R.S. Raghavan,90025 A,Isotype,BSI,,
"Fimbristylis woodrowii C.B.
Clarke",Cyperaceae,"Khandal, Pune.","24.09.189
5",,"Acc. No.
4709",Syntype,BSI,,
"Fimbristylis zatei W.Khan &
D.P.Chavan",Cyperaceae,"Beveingia, Kasargod dist.,
Kerala","15.10.200
4",D.P. Chavan,5451,Isotype,BSI,,
"Pycreus kanarensis V.P.
Prasad & N.P. Singh",Cyperaceae,Kanara dist.,"19.11.191
0",H.M. Chibber,2519,Isotype,BSI,,
Scirpus naikianaus W. Khan,Cyperaceae,"Bokar Tlk., Amdari, Beed","04.01.198
2",W. Khan,2158 E,Isotype,BSI,,
"Eriocaulon anshiense Punekar,
Malpure & Lakshmin.",Eriocaulaceae,"Waterfall near Mapoi ghat,
Anshi, N.Kannara","22.09.200
3",S. Punekar,187761,Isotype,BSI,,
"Eriocaulon anshiense Punekar,
Malpure & Lakshmin.",Eriocaulaceae,"Waterfall near Mapoi ghat,
Anshi, N.Kannara","11.10.200
3",S. Punekar,187822,Paratype,BSI,,
"Eriocaulon apetalum Punekar,
Malpure & Lakshmin.",Eriocaulaceae,"Harishchandragad, Lavali-
Panchnai, Ahmednagar","20.10.200
2",S. Punekar,186485,Isotype,BSI,,
"Eriocaulon apetalum Punekar,
Malpure & Lakshmin.",Eriocaulaceae,"Harishchandragad, Lavali-
Panchnai, Ahmednagar","25.10.200
3",S. Punekar,186101,Paratype,BSI,,
"Eriocaulon balakrishnanii
Punekar, Lakshmin.
& Vasudeva Rao",Eriocaulaceae,"Tiger tank, Anshi, N.Kannara","26.01.200
2",S. Punekar,183420,Isotype,BSI,,
"Eriocaulon balakrishnanii
Punekar, Lakshmin.
& Vasudeva Rao",Eriocaulaceae,"Tiger tank, Anshi, N.Kannara","31.03.200
2",S. Punekar,183489,Paratype,BSI,,
"Eriocaulon baramaticum
V.B. Shimpale et al.",Eriocaulaceae,Wagalwadi Baramati,"20.09.200
7",V.B. Shimpale,5554,Isotype,BSI,,
"Eriocaulon belgaumensis V.B.
Shimpale & S.R. Yadav",Eriocaulaceae,"Kankumbi plateau, Karnataka","29.08.200
8",V.B. Shimpale,3698,Isotype,BSI,,
"Eriocaulon cookie Punekar,
Malpure & Lakshmin.",Eriocaulaceae,"Harishchandragad, Lavali-
Panchnai, Ahmednagar","20.10.200
2",Punekar & Malpure,186484,Isotype,BSI,,
Eriocaulon epedunculatum,Eriocaulaceae,"Kas plateau, Satara","04.10.200
5",G.G. Potdar,2304,Isotype,BSI,,
Potdar et al,,,,,,,,,
Eriocaulon,horsley-kundae,20985,Eriocaulaceae,18.08.188,J.S. Gamble,"Horsley-Kunda, Kaddappah.",Type,BSI,
Fyson,,,,9,,,,,
"Eriocaulon kanarense
Punekar, Watve &
Lakshmin.",,187781,Eriocaulaceae,"02.09.200
3",Aparna Watve,"South of Ankola, on Karwar-
Manglore highway",Isotype,BSI,
"Eriocaulon karnatakense S.P.
Gaikwad, Sardesai, U.S.
Yadav & S.R. Yadav",,3,Eriocaulaceae,"15.09.200
0",U.S. Yadav,"Khemangundi, Karnataka",Isotype,BSI,
"Eriocaulon kolhapurense S.P.
Gaikwad, Sardesai & S.R.
Yadav",,5350,Eriocaulaceae,"30.09.199
8",M.M. Sardesai,"Chikewadi, Rangana fort,
Kolhapur",Isotype,BSI,
"Eriocaulon konkanense
Punekar, Malpure &
Lakshmin.",,187784,Eriocaulaceae,"07.09.200
3",N. Malpure,"Plateau near MIDC, Ratnagiri",Isotype,BSI,
"Eriocaulon koynense Punekar,
Mungikar & Lakshmin.",,186488,Eriocaulaceae,"20.12.200
2",R. Mungikar,"Old Vasavta gad, Koyna
WLS,
satara",Isotype,BSI,
"Eriocaulon maharashtrense
Punekar & Lakshmin.",,186495,Eriocaulaceae,"12.02.200
2",S. Punekar,"Nive village Tamhini, Mulshi,
Pune",Isotype,BSI,
"Eriocaulon peninsulare
Punekar & Lakshmin.",,183423,Eriocaulaceae,"26.01.200
2",S. Punekar,"Tiger tank, Anshi, N.Kannara",Isotype,BSI,
"Eriocaulon peninsulare
Punekar & Lakshmin.*",,183490,Eriocaulaceae,"31.03.200
2",S. Punekar,"Tiger tank, Anshi, N.Kannara","Paratype
?",BSI,
"Eriocaulon ratnagiricus
S.R.Yadav, S.P.Gaikwad &
Sardesai",,1 B,Eriocaulaceae,"01.10.199
6",S.P. Gaikwad,"Dharmashala, Ratnagiri",Isotype,BSI,
"Eriocaulon sahyadricum
Punekar, Malpure &
Lakshmin.",,186500,Eriocaulaceae,"25.10.200
2",S. Punekar,"Kate's point Mahabaleshwar,
Satar",Isotype,BSI,
"Eriocaulon sahyadricum
Punekar, Malpure &
Lakshmin.",,186115,Eriocaulaceae,"10.02.200
3",N. Malpure,"Amboli plateau, Sindhudurg",Paratype,BSI,
"Dalechampia stenoloba
Sundararagh. & B.G. Kulk.",,126547 B-C,Euphorbiaceae,"22.10.197
0",R.S. Raghavan,"Sukhalhatti forest, Lakkavali
range, Chikmagalur",Isotype,BSI,
"Euphorbia concanensis
Janarth. & S.R. Yadav",,1002,Euphorbiaceae,"20.09.199
3","Janarth. & S.R.
Yadav","Achirane, Phonda-Vaibhavvadi,
Sindhudurg",Isotype,BSI,
Euphorbia katrajensis Gage,,Acc No. 4709,Euphorbiaceae,"19.08.189
0",P.S. Kanetkar,"Katraj, Pune",Type,BSI,
Euphorbia katrajensis Gage,,Acc No. 4702,Euphorbiaceae,"29.07.190
9",S.V. Shevade,"Katraj, Pune",Type,BSI,
Croton caudatus Griseb. var.,,70886,Euphorbiaceae,"04.05.196
1","K.N.
Subramaniyam","Kuzuthuruthy river bank,
Kerala",Paratype,BSI,
"obovoideus Balakr. & T.
Chakrab.",,,,,,,,,
Phyllanthus talbotii Sedgw.,Euphorbiaceae,"Girsappa falls, N.Kannara",20.11.1883,W.A. Talbot,828,Type,BSI,,
"Alysicarpus vasavadae
Hemadri","Fabaceae
(papilionaceae)","Shivaneri fort, Junnar, Pune",01.11.1964,K. Hemadri,104350,Isotype,BSI,,
"Alysicarpus vasavadae
Hemadri","Fabaceae
(papilionaceae)","Kukdi river bank, Junnar, Pune",31.10.1964,K. Hemadri,104321,Paratype,BSI,,
"Alysicarpus vasavadae
Hemadri","(Fabaceae
(papilionaceae)","Shivaneri fort, Junnar, Pune",10.10.1962,R.S. Rao,83505,Paratype,BSI,,
Crotalaria decasperma Naik,"Fabaceae
(papilionaceae)","Ghatangiri, Osmanabad",15.11.1964,V.N. Naik,976 D,Type,BSI,,
Eleiotis trifoliata T. Cooke,"Fabaceae
(papilionaceae)","Badami, Karnatak",Aug 1892,###,"Acc No.
124633",Syntype,BSI,,
"Indigofera duthiei J. R.
Drumm. ex Naik","Fabaceae
(papilionaceae)","Ramling, Osmanabad",16.10.1966,V.N. Naik,1319,Holotype,BSI,,
Smithia agharkarii Hemadri,"Fabaceae
(papilionaceae)","Dhak plateau, Junnar, Pune",29.09.1965,K. Hemadri,107486 B,Isotype,BSI,,
Smithia agharkarii Hemadri,"Fabaceae
(papilionaceae)","Mahabaleshwar dhobi fall,
Satara",15.10.1957,S.D. Mahajan,24749,Paratype,BSI,,
Smithia agharkarii Hemadri,"Fabaceae
(papilionaceae)","Tata power station,
Kahandal,
Pune",03.10.1969,K. Hemadri,85171 A-I,Paratype,BSI,,
Zornia quilonensis Ravi,"Fabaceae
(papilionaceae)",Residency Quilon,14.08.1967,N. Ravi,308 A,Paratype,BSI,,
"Canscora devendrae Diwakar
et R.Kr.Singh",Gentianaceae,"Manmanhara plateau,
Mookambika WLS",19.12.2007,"Diwakar et R.Kr.
Singh",193716 D-G,Isotype,BSI,,
"Canscora devendrae Diwakar
et R.Kr. Singh",Gentianaceae,"Goliguddae plateau,
Mookambika WLS",16.10.2008,"Diwakar et R.Kr.
Singh",184476,Paratype,BSI,,
"Canscora sanjappae Diwakar
et R.Kr. Singh",Gentianaceae,"Mookambika, Udpi",14.10.2008,"Diwakar et R.Kr.
Singh",184465 D-H,Isotype,BSI,,
"Paraboea nagalandiana Deb
& R. M. Dutta",Hydatellaceae,"Saspung, Naga hills, Manipur",Dec. 1907,A.Meebold,7230,Paratype,BSI,,
"Trithuria konkanensis S.R.
Yadav & Janarth.",Hydrocharitaceae,"Akhirane, Sindhudurg",20.09.1993,"S.R.Yadav &
Janarth.",1001,Isotype,BSI,,
Blyxa talbotii Hook. f.,Hydrocharitaceae,Ghats of N.Kannara,04.03.1884,W.A. Talbot,920,Isotype,BSI,,
Leucas angustissima Sedgw.,Lamiaceae,"Siddhapur, N.Kannara",Feb 1896,W.A. Talbot,3740,Paratype,BSI,,
"Leucas deodikarii Billore &
Hemadri",Lamiaceae,"Dhak fort, Junnar, Pune",22.09.1968,K. Hemadri,117970 B,Isotype,BSI,,
Leucas deodikarii Billore &,Lamiaceae,"Vinchunal ghat, near Igatpuri,",05.06.1968,K.V. Billore,116170 A-E,Paratype,BSI,,
Hemadri,,,,,,Washala rg. Thana,,,
"Leucas deodikarii Billore &
Hemadri",,117830 A-B,Lamiaceae,18.09.1968,K. Hemadri,"Bail ghat near Tambe,
Junnar,
Pune",Paratype,BSI,
"Leucas deodikarii Billore &
Hemadri",,76244 A-B,Lamiaceae,05.12.1961,K.P. Janarthanan,"Rasacha jungle, Khed, Pune",Paratype,BSI,
"Plectranthus parvifolius
Talbot",,1739,Lamiaceae,01.12.1888,W.A. Talbot,"Potolli, N.Kannara",Holotype,BSI,
Cryptocarya procera Talbot,,2872,Lauraceae,-,-,-,-,BSI,
Leea talbotii King ex Talbot,,"Acc.
No.
3089",Leeaceae,1883,W.A. Talbot,"Karwar, N.Kannara",Paratype,BSI,
